time,control_delay_s,manual_delay_s,camera_delay_s
6.630000,0.010473,0.010473,0.023185
6.681000,0.016563,0.016563,0.032017
6.732000,0.450000,0.450000,0.660500
6.783000,0.012818,0.012818,0.026586
6.834000,0.008383,0.008383,0.020156
6.885000,0.013639,0.013639,0.027777
6.936000,0.011569,0.011569,0.024775
6.987000,0.450000,0.450000,0.660500
7.038000,0.013309,0.013309,0.027297
7.089000,0.008656,0.008656,0.020552
7.140000,0.015833,0.015833,0.030957
7.191000,0.016584,0.016584,0.032046
7.242000,0.450000,0.450000,0.660500
7.293000,0.011778,0.011778,0.025078
7.344000,0.015692,0.015692,0.030753
7.395000,0.012190,0.012190,0.025676
7.446000,0.008694,0.008694,0.020607
7.497000,0.012828,0.012828,0.026601
7.548000,0.009841,0.009841,0.022270
7.599000,0.014336,0.014336,0.028787
7.650000,0.010117,0.010117,0.022670
7.701000,0.013593,0.013593,0.027710
7.752000,0.011777,0.011777,0.025077
7.803000,0.013027,0.013027,0.026890
7.854000,0.013141,0.013141,0.027054
7.905000,0.012345,0.012345,0.025900
7.956000,0.010717,0.010717,0.023540
