label,n_true,phi_true,seed,ok,wall_s,csv
rich0035_n0597_phi141,0.597,14.12,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0035_n0597_phi141_seed1.csv
rich0036_n0598_phi147,0.598,14.69,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0036_n0598_phi147_seed0.csv
rich0036_n0598_phi147,0.598,14.69,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0036_n0598_phi147_seed1.csv
rich0037_n0600_phi146,0.600,14.63,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0037_n0600_phi146_seed0.csv
rich0037_n0600_phi146,0.600,14.63,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0037_n0600_phi146_seed1.csv
rich0038_n0602_phi167,0.602,16.66,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0038_n0602_phi167_seed0.csv
rich0038_n0602_phi167,0.602,16.66,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0038_n0602_phi167_seed1.csv
rich0039_n0602_phi209,0.602,20.89,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0039_n0602_phi209_seed0.csv
rich0039_n0602_phi209,0.602,20.89,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0039_n0602_phi209_seed1.csv
rich0040_n0603_phi126,0.603,12.59,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0040_n0603_phi126_seed0.csv
rich0040_n0603_phi126,0.603,12.59,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0040_n0603_phi126_seed1.csv
rich0041_n0605_phi235,0.605,23.50,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0041_n0605_phi235_seed0.csv
rich0041_n0605_phi235,0.605,23.50,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0041_n0605_phi235_seed1.csv
rich0042_n0607_phi136,0.607,13.56,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0042_n0607_phi136_seed0.csv
rich0042_n0607_phi136,0.607,13.56,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0042_n0607_phi136_seed1.csv
rich0043_n0608_phi152,0.608,15.19,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0043_n0608_phi152_seed0.csv
rich0043_n0608_phi152,0.608,15.19,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0043_n0608_phi152_seed1.csv
rich0044_n0609_phi173,0.609,17.29,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0044_n0609_phi173_seed0.csv
rich0044_n0609_phi173,0.609,17.29,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0044_n0609_phi173_seed1.csv
rich0045_n0611_phi127,0.611,12.69,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0045_n0611_phi127_seed0.csv
rich0045_n0611_phi127,0.611,12.69,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0045_n0611_phi127_seed1.csv
rich0046_n0612_phi210,0.612,21.03,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0046_n0612_phi210_seed0.csv
rich0046_n0612_phi210,0.612,21.03,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0046_n0612_phi210_seed1.csv
rich0047_n0613_phi275,0.613,27.49,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0047_n0613_phi275_seed0.csv
rich0047_n0613_phi275,0.613,27.49,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0047_n0613_phi275_seed1.csv
rich0048_n0615_phi231,0.615,23.12,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0048_n0615_phi231_seed0.csv
rich0048_n0615_phi231,0.615,23.12,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0048_n0615_phi231_seed1.csv
rich0049_n0615_phi213,0.615,21.25,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0049_n0615_phi213_seed0.csv
rich0049_n0615_phi213,0.615,21.25,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0049_n0615_phi213_seed1.csv
rich0050_n0618_phi156,0.618,15.56,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0050_n0618_phi156_seed0.csv
rich0050_n0618_phi156,0.618,15.56,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0050_n0618_phi156_seed1.csv
rich0051_n0619_phi153,0.619,15.29,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0051_n0619_phi153_seed0.csv
rich0051_n0619_phi153,0.619,15.29,1,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0051_n0619_phi153_seed1.csv
rich0052_n0620_phi273,0.620,27.27,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0052_n0620_phi273_seed0.csv
rich0052_n0620_phi273,0.620,27.27,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0052_n0620_phi273_seed1.csv
rich0053_n0621_phi222,0.621,22.20,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0053_n0621_phi222_seed0.csv
rich0053_n0621_phi222,0.621,22.20,1,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0053_n0621_phi222_seed1.csv
rich0054_n0623_phi228,0.623,22.82,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0054_n0623_phi228_seed0.csv
rich0054_n0623_phi228,0.623,22.82,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0054_n0623_phi228_seed1.csv
rich0055_n0624_phi269,0.624,26.85,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0055_n0624_phi269_seed0.csv
rich0055_n0624_phi269,0.624,26.85,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0055_n0624_phi269_seed1.csv
rich0056_n0626_phi167,0.626,16.74,0,1,32.7,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0056_n0626_phi167_seed0.csv
rich0056_n0626_phi167,0.626,16.74,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0056_n0626_phi167_seed1.csv
rich0057_n0626_phi197,0.626,19.72,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0057_n0626_phi197_seed0.csv
rich0057_n0626_phi197,0.626,19.72,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0057_n0626_phi197_seed1.csv
rich0058_n0627_phi165,0.627,16.50,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0058_n0627_phi165_seed0.csv
rich0058_n0627_phi165,0.627,16.50,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0058_n0627_phi165_seed1.csv
rich0059_n0629_phi237,0.629,23.65,1,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0059_n0629_phi237_seed1.csv
rich0059_n0629_phi237,0.629,23.65,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0059_n0629_phi237_seed0.csv
rich0061_n0633_phi245,0.633,24.54,1,0,17.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0061_n0633_phi245_seed1.csv
rich0060_n0630_phi163,0.630,16.30,0,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0060_n0630_phi163_seed0.csv
rich0060_n0630_phi163,0.630,16.30,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0060_n0630_phi163_seed1.csv
rich0061_n0633_phi245,0.633,24.54,0,1,32.6,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0061_n0633_phi245_seed0.csv
rich0062_n0633_phi256,0.633,25.58,0,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0062_n0633_phi256_seed0.csv
rich0062_n0633_phi256,0.633,25.58,1,1,32.8,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0062_n0633_phi256_seed1.csv
rich0063_n0635_phi231,0.635,23.15,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0063_n0635_phi231_seed0.csv
rich0063_n0635_phi231,0.635,23.15,1,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0063_n0635_phi231_seed1.csv
rich0064_n0635_phi162,0.635,16.20,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0064_n0635_phi162_seed0.csv
rich0064_n0635_phi162,0.635,16.20,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0064_n0635_phi162_seed1.csv
rich0065_n0637_phi140,0.637,14.04,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0065_n0637_phi140_seed0.csv
rich0065_n0637_phi140,0.637,14.04,1,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0065_n0637_phi140_seed1.csv
rich0066_n0639_phi238,0.639,23.84,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0066_n0639_phi238_seed0.csv
rich0066_n0639_phi238,0.639,23.84,1,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0066_n0639_phi238_seed1.csv
rich0067_n0640_phi216,0.640,21.61,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0067_n0640_phi216_seed0.csv
rich0067_n0640_phi216,0.640,21.61,1,1,32.4,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0067_n0640_phi216_seed1.csv
rich0068_n0642_phi229,0.642,22.86,0,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0068_n0642_phi229_seed0.csv
rich0068_n0642_phi229,0.642,22.86,1,1,32.5,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0068_n0642_phi229_seed1.csv
rich0069_n0643_phi186,0.643,18.63,0,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0069_n0643_phi186_seed0.csv
rich0069_n0643_phi186,0.643,18.63,1,1,32.3,/home/kyle/Documents/chrono-HIL/chrono-HIL/project/SCM_Teleop/data/terrain_traces_rich/rich0069_n0643_phi186_seed1.csv
